county,foundation_name,org_nbr,person_name,role
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Göran  Lindgren,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Lena Malm,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Lisbeth  Andersson,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Stig Sörlin,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Anna Karlsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Lennart Ruumensaari,Styrelsesuppleant
norrbotten,Stiftelsen Teknikens hus,897001-0420,Anders Josefsson,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Bo Krogvig,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Emma Breheim,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Janus  Brandin,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Jonna Barsk,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Niklas Letho,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Pär Weihed,Styrelseledamot och ordförande
norrbotten,Stiftelsen Teknikens hus,897001-0420,Bengt-Olov Innala,Styrelsesuppleant
norrbotten,Stiftelsen Teknikens hus,897001-0420,Nihad Zara,Styrelsesuppleant
norrbotten,Stiftelsen Teknikens hus,897001-0420,Ulrika Sundquist,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Abukar Omarsson,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Arnold  Eliseussen,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Sanna Laiho,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Staffan Landström,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Stine Feie Haram,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Virpi Anunti,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Arnold Eliseussen,Styrelseledamot och ordförande
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Elina Keloneva,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Helena Olsson,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Minna  Vasenius,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Pontus Ringborg,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Solveig Tesdal ,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Tomas Mörtberg,Styrelsesuppleant
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Caroline Jonsson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Daniel Wikberg,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Eva-Clara Viklund,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Gunnar Olofsson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Leif  Boström,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Marita Fransson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Stina  Jonsson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Ulf Ejelöv,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Gunnar Olofsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Anders Burman,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Angela Stenberg,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Charlotta Hällerstrand,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Daniel Ek-Löfmark,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Maj Stenberg,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Tomas Utterström,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Daniel Ek-Löfmark,Styrelseledamot och ordförande
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Gunnel Ek Löfmark,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Lars-Nila Lasko,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Mona Nilsson,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Rutger Lundgren,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Åsa Marklund,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Bernt Drugge,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Eva-Britt Larsson,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Jan-Olov Bäcklund,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Kenneth Backgård,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Lena Nilsson,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Rigmor Åström,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Urban  Sundbom,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Jan-Olov Bäcklund,Styrelseledamot och ordförande
norrbotten,Stiftelsen BodenBo,898500-0622,Catrine Granström Sun,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Erika Sjöö,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Erland Lindström,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Glenn Blom,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Inger Mattson,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Johan Sellin,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Mikael Renberg,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Bengt Melin,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Erik Quist,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Ulrica Andersson,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Åsa Larsson,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Mats Abrahamsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Arjeploghus,899100-0855,Anna Alnqvist,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Anna-Lena Le Goascogne,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Per Lampinen,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Philip  Mattsson,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Rolf Laestander,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Anders Erlind Fjällås,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Dan Brändström,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Erik Holger Hägglöf,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Isak Utsi,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Lars Holmgren,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Madelene Aheinen,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Ola Kellgren,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Lars Holmgren,Styrelseledamot och ordförande
norrbotten,Stiftelsen Silvermuséet,899100-2992,Anna Thorfve,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Britta Flinkfeldt-Jansson,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Britta Flinkfeldt-Jansson,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Jeanette Lindahl Ranfjäll,Styrelsesuppleant
norrbotten,Stiftelsen Energitekniskt Centrum i Piteå,898800-7905,Charlotta Johansson,Styrelseledamot
norrbotten,Stiftelsen Energitekniskt Centrum i Piteå,898800-7905,Maria Palo Isaksson,Styrelseledamot
norrbotten,Stiftelsen Energitekniskt Centrum i Piteå,898800-7905,Anders Lundqvist,Styrelseledamot och ordförande
norrbotten,Stiftelsen Barnens Väl,897001-6724,Kati Jääskeläinen,Styrelseledamot
norrbotten,Stiftelsen Barnens Väl,897001-6724,Mehmet Tekin,Styrelseledamot och ordförande
norrbotten,Stiftelsen Barnens Väl,897001-6724,Tim Larsson,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Carina Tornberg,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Daniel Henriksson,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Sarah Karlsson,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Susanna Karlsson,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Leif Nilsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Caroline Sjödin Larsson,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Maria Edfast,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Marianne Jakobsson,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Siv Larsson,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Birgitta Ahlqvist,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Fredrik Bruhn,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Jimmy Stenman,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Lena Aronsson,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Nicklas Nyman,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Tina Aghajari,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Andreas Hedgren,Styrelseledamot och ordförande
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Ingeborg Isaksson,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Lena Nilsson,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Linn Thysell,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Maritha Meethz,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Robert Forsberg,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Börje Rytiniemi,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Knut Omark,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Roger Eriksson,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Theresa Palo,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Tomas Mörtberg,Styrelseledamot och ordförande
norrbotten,Stiftelsen Matarengihem,897600-1936,Elisabeth Holmgren,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Lennart Mansikka,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Malin Routuvaara,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Simon Lassinanti,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Tarja Mattila,Styrelsesuppleant
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Bengt-Åke Kuoljok,Styrelseledamot
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Henrik Blind,Styrelseledamot
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Karl-Einar Enarsson,Styrelseledamot
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Kerstin Hellgren-Tobiasson,Styrelseledamot
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Mariana  Wiik,Styrelseledamot
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Nils Joel Partapuoli,Styrelseledamot
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Nils-Johan Labba,Styrelseledamot
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Mariana  Wiik,Styrelseledamot och ordförande
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Anne-May Kuoljok Albinsson,Styrelsesuppleant
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Cecilia Lundin,Styrelsesuppleant
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Eva-Lena Kielatis,Styrelsesuppleant
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Johannes Rimpi,Styrelsesuppleant
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Kristina Larsgren,Styrelsesuppleant
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Matto Skum,Styrelsesuppleant
norrbotten,Stiftelsen Sámij åhpadusguovdásj / Samernas Utbildningscentrum,898500-4418,Peter  Holmqvist,Styrelsesuppleant
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Anders Ruona,Styrelseledamot
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Björn Syrén,Styrelseledamot
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Eila Eriksson,Styrelseledamot
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Hans Öhman,Styrelseledamot
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Bertil Segerlund,Styrelseledamot och ordförande
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Ann-Charlotte Bucht,Styrelsesuppleant
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Hannele Tavi,Styrelsesuppleant
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Jim Innala,Styrelsesuppleant
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Ritva Angeria,Styrelsesuppleant
norrbotten,Stiftelsen Haparandabostäder,897001-1154,Ulf Olofsson,Styrelsesuppleant
norrbotten,Makarna Erik och Gertrud Mörtbergs donationsstiftelse,897600-0680,Birgit Niva,Styrelseledamot
norrbotten,Makarna Erik och Gertrud Mörtbergs donationsstiftelse,897600-0680,Einar Granström,Styrelseledamot
norrbotten,Makarna Erik och Gertrud Mörtbergs donationsstiftelse,897600-0680,Lars Pesula,Styrelseledamot
norrbotten,Makarna Erik och Gertrud Mörtbergs donationsstiftelse,897600-0680,Taina Kenttä,Styrelseledamot
norrbotten,Makarna Erik och Gertrud Mörtbergs donationsstiftelse,897600-0680,Einar Granström,Styrelseledamot och ordförande
norrbotten,Makarna Erik och Gertrud Mörtbergs donationsstiftelse,897600-0680,Carin Kerttu,Styrelsesuppleant
norrbotten,Makarna Erik och Gertrud Mörtbergs donationsstiftelse,897600-0680,Siv-Britt Harila,Styrelsesuppleant
norrbotten,Stiftelsen Föremålsvård,897300-3265,Anneli Palmsköld ,Styrelseledamot
norrbotten,Stiftelsen Föremålsvård,897300-3265,Curt Persson,Styrelseledamot
norrbotten,Stiftelsen Föremålsvård,897300-3265,Eric Fugeläng,Styrelseledamot
norrbotten,Stiftelsen Föremålsvård,897300-3265,Karin Grönvall,Styrelseledamot
norrbotten,Stiftelsen Föremålsvård,897300-3265,Karin Åström Iko ,Styrelseledamot
norrbotten,Stiftelsen Föremålsvård,897300-3265,Magnus Hagberg,Styrelseledamot
norrbotten,Stiftelsen Föremålsvård,897300-3265,Mats Taaveniku,Styrelseledamot
norrbotten,Stiftelsen Föremålsvård,897300-3265,Katarina Ljunggren,Styrelseledamot och ordförande
norrbotten,Stiftelsen Föremålsvård,897300-3265,Christer Karlsson,Styrelsesuppleant
norrbotten,Stiftelsen Föremålsvård,897300-3265,Dag Avango,Styrelsesuppleant
norrbotten,Stiftelsen Föremålsvård,897300-3265,Elisabet Regner,Styrelsesuppleant
norrbotten,Stiftelsen Föremålsvård,897300-3265,Emilia Töyrä,Styrelsesuppleant
norrbotten,Stiftelsen Föremålsvård,897300-3265,Eva-Marie Sahlin,Styrelsesuppleant
norrbotten,Stiftelsen Föremålsvård,897300-3265,Johanna Nilsson,Styrelsesuppleant
norrbotten,Stiftelsen Föremålsvård,897300-3265,Matilda Ekström,Styrelsesuppleant
norrbotten,Stiftelsen Laryngfonden,802016-3633,Gun Olsson,Styrelseledamot
norrbotten,Stiftelsen Laryngfonden,802016-3633,Göran  Eriksson,Styrelseledamot
norrbotten,Stiftelsen Laryngfonden,802016-3633,Hans Gustafsson,Styrelseledamot
norrbotten,Stiftelsen Laryngfonden,802016-3633,Hans-Ola Fors,Styrelseledamot
norrbotten,Stiftelsen Laryngfonden,802016-3633,Lena Carin Agneta Lageson,Styrelseledamot
norrbotten,Stiftelsen Laryngfonden,802016-3633,Hans-Ola Fors,Styrelseledamot och ordförande
norrbotten,Stiftelsen Laryngfonden,802016-3633,Lennart Hedström,Styrelsesuppleant
norrbotten,Stiftelsen Laryngfonden,802016-3633,Tony Nilsson,Styrelsesuppleant
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Iiris  Mäntyranta,Styrelseledamot
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Leif Pekkari,Styrelseledamot
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Lotta  Finstorp,Styrelseledamot
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Yvonne Stålnacke,Styrelseledamot
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Åsa Nyström,Styrelseledamot
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Lotta  Finstorp,Styrelseledamot och ordförande
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Charlotte Rehnman,Styrelsesuppleant
norrbotten,Stiftelsen Norrbottens läns Arbetsstugor,897000-6485,Torsten Fors,Styrelsesuppleant
norrbotten,Stiftelsen  för hjälpbehövande barn i Bodens kommun,898500-1968,Camilla Åberg,Styrelseledamot
norrbotten,Stiftelsen  för hjälpbehövande barn i Bodens kommun,898500-1968,Sigrid Sandström,Styrelseledamot
norrbotten,Stiftelsen  för hjälpbehövande barn i Bodens kommun,898500-1968,Bertil Rensfeldt,Styrelseledamot och ordförande
norrbotten,Stiftelsen  för hjälpbehövande barn i Bodens kommun,898500-1968,Kenneth Eriksson,Styrelsesuppleant
norrbotten,Stiftelsen  för hjälpbehövande barn i Bodens kommun,898500-1968,Margot Hermansson,Styrelsesuppleant
norrbotten,Stiftelsen  för hjälpbehövande barn i Bodens kommun,898500-1968,Sievert Mässing,Styrelsesuppleant
norrbotten,Stiftelsen Åkerbäret,802477-7248,Arja Martinviita,Styrelseledamot
norrbotten,Stiftelsen Åkerbäret,802477-7248,Eivor Olofsson,Styrelseledamot
norrbotten,Stiftelsen Åkerbäret,802477-7248,Raimo Pärssinen,Styrelseledamot och ordförande
norrbotten,Stiftelsen Åkerbäret,802477-7248,Christina Lugnet,Styrelsesuppleant
norrbotten,Stiftelsen Åkerbäret,802477-7248,Jouni Slagner,Styrelsesuppleant
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Hans-Göran Sandberg,Styrelseledamot
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Håkan Nyman,Styrelseledamot
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Lars Lundbäck,Styrelseledamot
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Maj-Lis Gustavsson,Styrelseledamot
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Sven Johannes Lundbäck,Styrelseledamot
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Lars Lundbäck,Styrelseledamot och ordförande
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Johnny Josefsson,Styrelsesuppleant
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Karl Gunnar Rönnqvist,Styrelsesuppleant
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Lennart Nyman,Styrelsesuppleant
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Mikael Lindberg ,Styrelsesuppleant
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Mona Harila,Styrelsesuppleant
norrbotten,Stiftelsen Kalix Sommarhem,898200-1391,Rune Sandin,Styrelsesuppleant
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Ewa-Mari Westerlund,Styrelseledamot
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Ingrid Sundbom,Styrelseledamot
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Laila Karlsson,Styrelseledamot
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Per Boström Johansson,Styrelseledamot
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Per Olofsson,Styrelseledamot
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Tage Andersson,Styrelseledamot
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Åke Andersin,Styrelseledamot och ordförande
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Harry Bäckström,Styrelsesuppleant
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Kenneth Isaksson,Styrelsesuppleant
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Linn Karlsson,Styrelsesuppleant
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Martin Lundgren,Styrelsesuppleant
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Ove Lindström,Styrelsesuppleant
norrbotten,Stiftelsen Robertsforsbostäder-ROBO,894000-0105,Robert Lindgren,Styrelsesuppleant
norrbotten,Stiftelsen Åselehus,896100-0794,Anne Westman,Styrelseledamot
norrbotten,Stiftelsen Åselehus,896100-0794,Birgitta Norrlänning,Styrelseledamot
norrbotten,Stiftelsen Åselehus,896100-0794,Gunnel Jonsson,Styrelseledamot
norrbotten,Stiftelsen Åselehus,896100-0794,Ove Nordin,Styrelseledamot
norrbotten,Stiftelsen Åselehus,896100-0794,Torsten Lundborg,Styrelseledamot
norrbotten,Stiftelsen Åselehus,896100-0794,Ove Nordin,Styrelseledamot och ordförande
norrbotten,Stiftelsen Åselehus,896100-0794,Birgitta Jonsson,Styrelsesuppleant
norrbotten,Stiftelsen Åselehus,896100-0794,Enar Nordin,Styrelsesuppleant
norrbotten,Stiftelsen Åselehus,896100-0794,Rosmarie Persson,Styrelsesuppleant
norrbotten,Stiftelsen Åselehus,896100-0794,Stefan Gärdlund,Styrelsesuppleant
norrbotten,Stiftelsen Åselehus,896100-0794,Sylvia Samuelsson,Styrelsesuppleant
norrbotten,Stiftelsen Träenigheten,894701-7714,Anders Nordmark,Styrelseledamot
norrbotten,Stiftelsen Träenigheten,894701-7714,Dan Magnusson,Styrelseledamot
norrbotten,Stiftelsen Träenigheten,894701-7714,Johan Oja,Styrelseledamot
norrbotten,Stiftelsen Träenigheten,894701-7714,Lorents Burman,Styrelseledamot
norrbotten,Stiftelsen Träenigheten,894701-7714,Stina Broberg Bergkvist,Styrelseledamot
norrbotten,Stiftelsen Träenigheten,894701-7714,Tiina Ranta,Styrelseledamot
norrbotten,Stiftelsen Träenigheten,894701-7714,Dan Magnusson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Träenigheten,894701-7714,Dick Sandberg,Styrelsesuppleant
norrbotten,Stiftelsen Träenigheten,894701-7714,Jens Forslund,Styrelsesuppleant
norrbotten,Stiftelsen Träenigheten,894701-7714,Michael Marklund,Styrelsesuppleant
norrbotten,Stiftelsen Träenigheten,894701-7714,Ramona Dolan,Styrelsesuppleant
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Anders Gavelin,Styrelseledamot
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Anders Westman,Styrelseledamot
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Lisa Lindh,Styrelseledamot
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Ove Nordin,Styrelseledamot
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Tommy Danielsson,Styrelseledamot
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Tony Tuncer,Styrelseledamot
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Ove Nordin,Styrelseledamot och ordförande
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Andreas From,Styrelsesuppleant
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Martin Englund,Styrelsesuppleant
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Paul Eriksson,Styrelsesuppleant
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Per Olof Näslund,Styrelsesuppleant
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Torsten Lundborg,Styrelsesuppleant
norrbotten,Åsele Näringslivsstiftelse,896100-4168,Urban Lindström,Styrelsesuppleant
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Camilla Björk,Styrelseledamot
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Joakim Rehn,Styrelseledamot
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Sara Werner,Styrelseledamot
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Thord Jonsson,Styrelseledamot
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Torbjörn Bergh,Styrelseledamot
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Daniel Åberg,Styrelseledamot och ordförande
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Charlotte Adolfsson,Styrelsesuppleant
norrbotten,"Stiftelsen Navet, Nordmalings utvecklings- och företagarservice",894002-3883,Roma Wilma,Styrelsesuppleant
norrbotten,Stiftelsen Villa Marieberg,889201-1357,Christina Danielsson,Styrelseledamot
norrbotten,Stiftelsen Villa Marieberg,889201-1357,Jonas Walker,Styrelseledamot
norrbotten,Stiftelsen Villa Marieberg,889201-1357,Oliver Dogo,Styrelseledamot
norrbotten,Stiftelsen Villa Marieberg,889201-1357,Pål  Bakken,Styrelseledamot
norrbotten,Stiftelsen Villa Marieberg,889201-1357,Sofie Stark,Styrelseledamot
norrbotten,Stiftelsen Villa Marieberg,889201-1357,Åsa Willén,Styrelseledamot
norrbotten,Stiftelsen Villa Marieberg,889201-1357,Oliver Dogo,Styrelseledamot och ordförande
